sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.5918;6.1566;7.4274;0.5191;5.4701;8.1228;0.2819;0.6374;-0.7828;0.0707;0.0962;0.004;7622.625;-45.86;5.84;-19.35;69.04;-33.82;-4.02;5.0;52.204;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;34010;2018-08-03 08:45:56:659
0.3907;5.5269;5.7634;-0.0088;5.0745;8.3916;0.3934;0.5152;-2.7133;0.1229;-0.4897;-0.0493;8474.456;-42.98;7.84;-25.76;66.95;-30.46;-0.15;5.0;51.747;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;34509;2018-08-03 08:45:57:158
-0.2486;4.4902;6.994;0.4272;4.7699;8.5578;-0.4501;-0.5496;-1.3494;-0.0305;0.3817;0.0998;8573.978;-47.6;5.61;-20.51;70.28;-29.19;-3.18;5.0;54.552;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;35009;2018-08-03 08:45:57:658
4.6978;2.1439;10.7673;3.2597;1.767;9.0787;1.4823;0.3001;1.7561;-1.1937;-1.2077;0.3193;9397.133;-45.58;21.33;-5.81;59.13;-12.8;-16.87;5.0;55.306;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;35511;2018-08-03 08:45:58:160
0.5056;3.4703;5.8855;0.3551;4.366;8.7739;0.1943;-0.8942;-2.9214;0.0143;0.0056;-0.4775;8390.116;-45.51;4.86;-21.61;71.23;-26.27;-2.88;5.0;56.273;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;36010;2018-08-03 08:45:58:659
-0.1815;3.5756;6.0483;0.2541;3.9445;8.9748;-0.4808;-0.3627;-2.9799;-0.2861;-0.4705;0.2341;8648.196;-44.82;2.96;-18.97;75.09;-23.76;-0.63;5.0;50.799;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;36509;2018-08-03 08:45:59:158
0.7354;2.9172;8.7083;0.2313;4.0672;8.9205;0.3937;-1.2884;-0.3912;0.0292;0.1399;-0.1857;8766.271;-45.83;1.61;-17.11;78.36;-24.52;-1.51;5.0;50.786;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;37009;2018-08-03 08:45:59:658
-1.2374;3.1303;8.3396;-0.4246;4.1031;8.8969;-0.831;-0.9904;-0.7127;-0.1189;0.0802;0.3374;8477.83;-44.58;1.37;-19.11;80.81;-24.89;2.85;5.0;51.878;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;37509;2018-08-03 08:46:00:158
1.8009;4.5309;8.9932;0.6091;4.2859;8.7995;0.5062;0.2465;0.6862;-0.1572;-0.4258;-0.485;7988.66;-47.07;2.64;-15.34;77.21;-26.05;-3.3;5.0;50.714;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;38011;2018-08-03 08:46:00:660
-1.7282;2.8598;9.3499;-0.6312;3.396;9.1782;-1.0562;-0.7084;0.8115;0.205;-0.6292;0.4652;8393.49;-43.33;11.03;-22.06;71.86;-19.81;3.95;5.0;51.662;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;38510;2018-08-03 08:46:01:159
